"Cost per message in BRL on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,BRL,"100,001","1,000,000",Tier rate,0.2689,-5%,"300,001","2,000,000",Tier rate,0.2689,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.2548,-10%,"2,000,001","10,000,000",Tier rate,0.2548,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","40,000,000",Tier rate,0.2406,-15%,"10,000,001","20,000,000",Tier rate,0.2406,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001","80,000,000",Tier rate,0.2265,-20%,"20,000,001","40,000,000",Tier rate,0.2265,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"80,000,001",--,Tier rate,0.2123,-25%,"40,000,001",--,Tier rate,0.2123,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,BRL,0,"150,000",List rate,0.1338,0%,0,"100,000",List rate,0.1338,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"150,001","1,000,000",Tier rate,0.1271,-5%,"100,001","300,000",Tier rate,0.1271,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,000,000",Tier rate,0.1204,-10%,"300,001","1,000,000",Tier rate,0.1204,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,000,001","25,000,000",Tier rate,0.1137,-15%,"1,000,001","10,000,000",Tier rate,0.1137,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"25,000,001","50,000,000",Tier rate,0.1070,-20%,"10,000,001","20,000,000",Tier rate,0.1070,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"50,000,001",--,Tier rate,0.1004,-25%,"20,000,001",--,Tier rate,0.1004,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,BRL,0,"100,000",List rate,0.1801,0%,0,"300,000",List rate,0.1801,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.1711,-5%,"300,001","2,000,000",Tier rate,0.1711,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.1621,-10%,"2,000,001","10,000,000",Tier rate,0.1621,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","40,000,000",Tier rate,0.1531,-15%,"10,000,001","20,000,000",Tier rate,0.1531,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001","80,000,000",Tier rate,0.1441,-20%,"20,000,001","40,000,000",Tier rate,0.1441,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"80,000,001",--,Tier rate,0.1351,-25%,"40,000,001",--,Tier rate,0.1351,-25%,n/a,n/a,n/a,n/a,n/a
India,BRL,0,"25,000,000",List rate,0.0072,0%,0,"750,000",List rate,0.0072,0%,0,"750,000",List rate,0.1565,0%
,BRL,"25,000,001","50,000,000",Tier rate,0.0068,-6%,"750,001","15,000,000",Tier rate,0.0068,-6%,"750,001","15,000,000",Tier rate,0.1471,-6%
,BRL,"50,000,001","100,000,000",Tier rate,0.0063,-12%,"15,000,001","20,000,000",Tier rate,0.0063,-12%,"15,000,001","20,000,000",Tier rate,0.1377,-12%
,BRL,"100,000,001","200,000,000",Tier rate,0.0059,-18%,"20,000,001","50,000,000",Tier rate,0.0059,-18%,"20,000,001","50,000,000",Tier rate,0.1283,-18%
,BRL,"200,000,001","300,000,000",Tier rate,0.0055,-24%,"50,000,001","100,000,000",Tier rate,0.0055,-24%,"50,000,001","100,000,000",Tier rate,0.1189,-24%
,BRL,"300,000,001",--,Tier rate,0.0050,-30%,"100,000,001",--,Tier rate,0.0050,-30%,"100,000,001",--,Tier rate,0.1096,-30%
Indonesia,BRL,0,"750,000",List rate,0.1287,0%,0,"750,000",List rate,0.1287,0%,0,"750,000",List rate,0.7000,0%
,BRL,"750,001","4,000,000",Tier rate,0.1223,-5%,"750,001","2,000,000",Tier rate,0.1223,-5%,"750,001","2,000,000",Tier rate,0.6650,-5%
,BRL,"4,000,001","25,000,000",Tier rate,0.1158,-10%,"2,000,001","6,000,000",Tier rate,0.1158,-10%,"2,000,001","6,000,000",Tier rate,0.6300,-10%
,BRL,"25,000,001","75,000,000",Tier rate,0.1094,-15%,"6,000,001","30,000,000",Tier rate,0.1094,-15%,"6,000,001","30,000,000",Tier rate,0.5950,-15%
,BRL,"75,000,001","150,000,000",Tier rate,0.1030,-20%,"30,000,001","60,000,000",Tier rate,0.1030,-20%,"30,000,001","60,000,000",Tier rate,0.5600,-20%
,BRL,"150,000,001",--,Tier rate,0.0965,-25%,"60,000,001",--,Tier rate,0.0965,-25%,"60,000,001",--,Tier rate,0.5250,-25%
Israel,BRL,0,"100,000",List rate,0.0273,0%,0,"300,000",List rate,0.0273,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.0259,-5%,"300,001","2,000,000",Tier rate,0.0259,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.0246,-10%,"2,000,001","10,000,000",Tier rate,0.0246,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","40,000,000",Tier rate,0.0232,-15%,"10,000,001","20,000,000",Tier rate,0.0232,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001","80,000,000",Tier rate,0.0218,-20%,"20,000,001","40,000,000",Tier rate,0.0218,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"80,000,001",--,Tier rate,0.0205,-25%,"40,000,001",--,Tier rate,0.0205,-25%,n/a,n/a,n/a,n/a,n/a
Italy,BRL,0,"100,000",List rate,0.1544,0%,0,"300,000",List rate,0.1544,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.1467,-5%,"300,001","2,000,000",Tier rate,0.1467,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.1390,-10%,"2,000,001","10,000,000",Tier rate,0.1390,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","40,000,000",Tier rate,0.1312,-15%,"10,000,001","20,000,000",Tier rate,0.1312,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001","80,000,000",Tier rate,0.1235,-20%,"20,000,001","40,000,000",Tier rate,0.1235,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"80,000,001",--,Tier rate,0.1158,-25%,"40,000,001",--,Tier rate,0.1158,-25%,n/a,n/a,n/a,n/a,n/a
Malaysia,BRL,0,"150,000",List rate,0.0721,0%,0,"100,000",List rate,0.0721,0%,0,"100,000",List rate,0.2151,0%
,BRL,"150,001","1,000,000",Tier rate,0.0685,-5%,"100,001","300,000",Tier rate,0.0685,-5%,"100,001","300,000",Tier rate,0.2043,-5%
,BRL,"1,000,001","4,000,000",Tier rate,0.0649,-10%,"300,001","1,000,000",Tier rate,0.0649,-10%,"300,001","1,000,000",Tier rate,0.1936,-10%
,BRL,"4,000,001","25,000,000",Tier rate,0.0613,-15%,"1,000,001","10,000,000",Tier rate,0.0613,-15%,"1,000,001","10,000,000",Tier rate,0.1828,-15%
,BRL,"25,000,001","50,000,000",Tier rate,0.0577,-20%,"10,000,001","20,000,000",Tier rate,0.0577,-20%,"10,000,001","20,000,000",Tier rate,0.1721,-20%
,BRL,"50,000,001",--,Tier rate,0.0541,-25%,"20,000,001",--,Tier rate,0.0541,-25%,"20,000,001",--,Tier rate,0.1613,-25%
Mexico,BRL,0,"1,000,000",List rate,0.0438,0%,0,"250,000",List rate,0.0438,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","5,000,000",Tier rate,0.0416,-5%,"250,001","1,000,000",Tier rate,0.0416,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"5,000,001","10,000,000",Tier rate,0.0394,-10%,"1,000,001","3,000,000",Tier rate,0.0394,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"10,000,001","20,000,000",Tier rate,0.0372,-15%,"3,000,001","5,000,000",Tier rate,0.0372,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"20,000,001","40,000,000",Tier rate,0.0350,-20%,"5,000,001","10,000,000",Tier rate,0.0350,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001",--,Tier rate,0.0329,-25%,"10,000,001",--,Tier rate,0.0329,-25%,n/a,n/a,n/a,n/a,n/a
Netherlands,BRL,0,"100,000",List rate,0.2574,0%,0,"300,000",List rate,0.2574,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.2445,-5%,"300,001","2,000,000",Tier rate,0.2445,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.2317,-10%,"2,000,001","10,000,000",Tier rate,0.2317,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","40,000,000",Tier rate,0.2188,-15%,"10,000,001","20,000,000",Tier rate,0.2188,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001","80,000,000",Tier rate,0.2059,-20%,"20,000,001","40,000,000",Tier rate,0.2059,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"80,000,001",--,Tier rate,0.1931,-25%,"40,000,001",--,Tier rate,0.1931,-25%,n/a,n/a,n/a,n/a,n/a
Nigeria,BRL,0,"100,000",List rate,0.0345,0%,0,"300,000",List rate,0.0345,0%,0,"300,000",List rate,0.3860,0%
,BRL,"100,001","1,000,000",Tier rate,0.0328,-5%,"300,001","2,000,000",Tier rate,0.0328,-5%,"300,001","2,000,000",Tier rate,0.3667,-5%
,BRL,"1,000,001","4,500,000",Tier rate,0.0311,-10%,"2,000,001","10,000,000",Tier rate,0.0311,-10%,"2,000,001","10,000,000",Tier rate,0.3474,-10%
,BRL,"4,500,001","40,000,000",Tier rate,0.0293,-15%,"10,000,001","20,000,000",Tier rate,0.0293,-15%,"10,000,001","20,000,000",Tier rate,0.3281,-15%
,BRL,"40,000,001","80,000,000",Tier rate,0.0276,-20%,"20,000,001","40,000,000",Tier rate,0.0276,-20%,"20,000,001","40,000,000",Tier rate,0.3088,-20%
