"Cost per message in GBP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,GBP,"100,001","1,000,000",Tier rate,0.0377,-5%,"300,001","2,000,000",Tier rate,0.0377,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0357,-10%,"2,000,001","10,000,000",Tier rate,0.0357,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","40,000,000",Tier rate,0.0337,-15%,"10,000,001","20,000,000",Tier rate,0.0337,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"40,000,001","80,000,000",Tier rate,0.0318,-20%,"20,000,001","40,000,000",Tier rate,0.0318,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"80,000,001",--,Tier rate,0.0298,-25%,"40,000,001",--,Tier rate,0.0298,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,GBP,0,"150,000",List rate,0.0189,0%,0,"100,000",List rate,0.0189,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"150,001","1,000,000",Tier rate,0.0180,-5%,"100,001","300,000",Tier rate,0.0180,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,000,000",Tier rate,0.0170,-10%,"300,001","1,000,000",Tier rate,0.0170,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,000,001","25,000,000",Tier rate,0.0161,-15%,"1,000,001","10,000,000",Tier rate,0.0161,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"25,000,001","50,000,000",Tier rate,0.0151,-20%,"10,000,001","20,000,000",Tier rate,0.0151,-20%,n/a,n/a,n/a,n/a,n/a
