"Cost per message in AUD on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,AUD,"100,001","1,000,000",Tier rate,0.0679,-5%,"300,001","2,000,000",Tier rate,0.0679,-5%,n/a,n/a,n/a,n/a,n/a
,AUD,"1,000,001","4,500,000",Tier rate,0.0644,-10%,"2,000,001","10,000,000",Tier rate,0.0644,-10%,n/a,n/a,n/a,n/a,n/a
,AUD,"4,500,001","40,000,000",Tier rate,0.0608,-15%,"10,000,001","20,000,000",Tier rate,0.0608,-15%,n/a,n/a,n/a,n/a,n/a
,AUD,"40,000,001","80,000,000",Tier rate,0.0572,-20%,"20,000,001","40,000,000",Tier rate,0.0572,-20%,n/a,n/a,n/a,n/a,n/a
,AUD,"80,000,001",--,Tier rate,0.0536,-25%,"40,000,001",--,Tier rate,0.0536,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,AUD,0,"150,000",List rate,0.0341,0%,0,"100,000",List rate,0.0341,0%,n/a,n/a,n/a,n/a,n/a
,AUD,"150,001","1,000,000",Tier rate,0.0324,-5%,"100,001","300,000",Tier rate,0.0324,-5%,n/a,n/a,n/a,n/a,n/a
,AUD,"1,000,001","4,000,000",Tier rate,0.0307,-10%,"300,001","1,000,000",Tier rate,0.0307,-10%,n/a,n/a,n/a,n/a,n/a
,AUD,"4,000,001","25,000,000",Tier rate,0.0290,-15%,"1,000,001","10,000,000",Tier rate,0.0290,-15%,n/a,n/a,n/a,n/a,n/a
,AUD,"25,000,001","50,000,000",Tier rate,0.0273,-20%,"10,000,001","20,000,000",Tier rate,0.0273,-20%,n/a,n/a,n/a,n/a,n/a
,AUD,"50,000,001",--,Tier rate,0.0256,-25%,"20,000,001",--,Tier rate,0.0256,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,AUD,0,"100,000",List rate,0.0454,0%,0,"300,000",List rate,0.0454,0%,n/a,n/a,n/a,n/a,n/a
,AUD,"100,001","1,000,000",Tier rate,0.0431,-5%,"300,001","2,000,000",Tier rate,0.0431,-5%,n/a,n/a,n/a,n/a,n/a
,AUD,"1,000,001","4,500,000",Tier rate,0.0409,-10%,"2,000,001","10,000,000",Tier rate,0.0409,-10%,n/a,n/a,n/a,n/a,n/a
,AUD,"4,500,001","40,000,000",Tier rate,0.0386,-15%,"10,000,001","20,000,000",Tier rate,0.0386,-15%,n/a,n/a,n/a,n/a,n/a
,AUD,"40,000,001","80,000,000",Tier rate,0.0363,-20%,"20,000,001","40,000,000",Tier rate,0.0363,-20%,n/a,n/a,n/a,n/a,n/a
,AUD,"80,000,001",--,Tier rate,0.0341,-25%,"40,000,001",--,Tier rate,0.0341,-25%,n/a,n/a,n/a,n/a,n/a
India,AUD,0,"25,000,000",List rate,0.0018,0%,0,"750,000",List rate,0.0018,0%,0,"750,000",List rate,0.0395,0%
,AUD,"25,000,001","50,000,000",Tier rate,0.0017,-6%,"750,001","15,000,000",Tier rate,0.0017,-6%,"750,001","15,000,000",Tier rate,0.0371,-6%
