"Cost per message in ARS on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,ARS,"100,001","1,000,000",Tier rate,75.7219,-5%,"300,001","2,000,000",Tier rate,75.7219,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,71.7366,-10%,"2,000,001","10,000,000",Tier rate,71.7366,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","40,000,000",Tier rate,67.7512,-15%,"10,000,001","20,000,000",Tier rate,67.7512,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001","80,000,000",Tier rate,63.7658,-20%,"20,000,001","40,000,000",Tier rate,63.7658,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"80,000,001",--,Tier rate,59.7805,-25%,"40,000,001",--,Tier rate,59.7805,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,ARS,0,"150,000",List rate,37.6798,0%,0,"100,000",List rate,37.6798,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"150,001","1,000,000",Tier rate,35.7958,-5%,"100,001","300,000",Tier rate,35.7958,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,000,000",Tier rate,33.9118,-10%,"300,001","1,000,000",Tier rate,33.9118,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,000,001","25,000,000",Tier rate,32.0278,-15%,"1,000,001","10,000,000",Tier rate,32.0278,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"25,000,001","50,000,000",Tier rate,30.1438,-20%,"10,000,001","20,000,000",Tier rate,30.1438,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"50,000,001",--,Tier rate,28.2599,-25%,"20,000,001",--,Tier rate,28.2599,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,ARS,0,"100,000",List rate,50.7228,0%,0,"300,000",List rate,50.7228,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,48.1867,-5%,"300,001","2,000,000",Tier rate,48.1867,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,45.6505,-10%,"2,000,001","10,000,000",Tier rate,45.6505,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","40,000,000",Tier rate,43.1144,-15%,"10,000,001","20,000,000",Tier rate,43.1144,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001","80,000,000",Tier rate,40.5782,-20%,"20,000,001","40,000,000",Tier rate,40.5782,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"80,000,001",--,Tier rate,38.0421,-25%,"40,000,001",--,Tier rate,38.0421,-25%,n/a,n/a,n/a,n/a,n/a
India,ARS,0,"25,000,000",List rate,2.0289,0%,0,"750,000",List rate,2.0289,0%,0,"750,000",List rate,44.0564,0%
,ARS,"25,000,001","50,000,000",Tier rate,1.9072,-6%,"750,001","15,000,000",Tier rate,1.9072,-6%,"750,001","15,000,000",Tier rate,41.4130,-6%
,ARS,"50,000,001","100,000,000",Tier rate,1.7854,-12%,"15,000,001","20,000,000",Tier rate,1.7854,-12%,"15,000,001","20,000,000",Tier rate,38.7696,-12%
,ARS,"100,000,001","200,000,000",Tier rate,1.6637,-18%,"20,000,001","50,000,000",Tier rate,1.6637,-18%,"20,000,001","50,000,000",Tier rate,36.1262,-18%
,ARS,"200,000,001","300,000,000",Tier rate,1.5420,-24%,"50,000,001","100,000,000",Tier rate,1.5420,-24%,"50,000,001","100,000,000",Tier rate,33.4829,-24%
,ARS,"300,000,001",--,Tier rate,1.4202,-30%,"100,000,001",--,Tier rate,1.4202,-30%,"100,000,001",--,Tier rate,30.8395,-30%
Indonesia,ARS,0,"750,000",List rate,36.2306,0%,0,"750,000",List rate,36.2306,0%,0,"750,000",List rate,197.0944,0%
,ARS,"750,001","4,000,000",Tier rate,34.4191,-5%,"750,001","2,000,000",Tier rate,34.4191,-5%,"750,001","2,000,000",Tier rate,187.2397,-5%
,ARS,"4,000,001","25,000,000",Tier rate,32.6075,-10%,"2,000,001","6,000,000",Tier rate,32.6075,-10%,"2,000,001","6,000,000",Tier rate,177.3850,-10%
,ARS,"25,000,001","75,000,000",Tier rate,30.7960,-15%,"6,000,001","30,000,000",Tier rate,30.7960,-15%,"6,000,001","30,000,000",Tier rate,167.5302,-15%
,ARS,"75,000,001","150,000,000",Tier rate,28.9845,-20%,"30,000,001","60,000,000",Tier rate,28.9845,-20%,"30,000,001","60,000,000",Tier rate,157.6755,-20%
,ARS,"150,000,001",--,Tier rate,27.1730,-25%,"60,000,001",--,Tier rate,27.1730,-25%,"60,000,001",--,Tier rate,147.8208,-25%
Israel,ARS,0,"100,000",List rate,7.6809,0%,0,"300,000",List rate,7.6809,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,7.2969,-5%,"300,001","2,000,000",Tier rate,7.2969,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,6.9128,-10%,"2,000,001","10,000,000",Tier rate,6.9128,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","40,000,000",Tier rate,6.5288,-15%,"10,000,001","20,000,000",Tier rate,6.5288,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001","80,000,000",Tier rate,6.1447,-20%,"20,000,001","40,000,000",Tier rate,6.1447,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"80,000,001",--,Tier rate,5.7607,-25%,"40,000,001",--,Tier rate,5.7607,-25%,n/a,n/a,n/a,n/a,n/a
