"Cost per message in SAR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,SAR,"100,001","1,000,000",Tier rate,0.1958,-5%,"300,001","2,000,000",Tier rate,0.1958,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","4,500,000",Tier rate,0.1855,-10%,"2,000,001","10,000,000",Tier rate,0.1855,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"4,500,001","40,000,000",Tier rate,0.1752,-15%,"10,000,001","20,000,000",Tier rate,0.1752,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"40,000,001","80,000,000",Tier rate,0.1649,-20%,"20,000,001","40,000,000",Tier rate,0.1649,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"80,000,001",--,Tier rate,0.1546,-25%,"40,000,001",--,Tier rate,0.1546,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,SAR,0,"150,000",List rate,0.0973,0%,0,"100,000",List rate,0.0973,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"150,001","1,000,000",Tier rate,0.0924,-5%,"100,001","300,000",Tier rate,0.0924,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","4,000,000",Tier rate,0.0876,-10%,"300,001","1,000,000",Tier rate,0.0876,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"4,000,001","25,000,000",Tier rate,0.0827,-15%,"1,000,001","10,000,000",Tier rate,0.0827,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"25,000,001","50,000,000",Tier rate,0.0778,-20%,"10,000,001","20,000,000",Tier rate,0.0778,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"50,000,001",--,Tier rate,0.0730,-25%,"20,000,001",--,Tier rate,0.0730,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,SAR,0,"100,000",List rate,0.1311,0%,0,"300,000",List rate,0.1311,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"100,001","1,000,000",Tier rate,0.1245,-5%,"300,001","2,000,000",Tier rate,0.1245,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","4,500,000",Tier rate,0.1180,-10%,"2,000,001","10,000,000",Tier rate,0.1180,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"4,500,001","40,000,000",Tier rate,0.1114,-15%,"10,000,001","20,000,000",Tier rate,0.1114,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"40,000,001","80,000,000",Tier rate,0.1049,-20%,"20,000,001","40,000,000",Tier rate,0.1049,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"80,000,001",--,Tier rate,0.0983,-25%,"40,000,001",--,Tier rate,0.0983,-25%,n/a,n/a,n/a,n/a,n/a
India,SAR,0,"25,000,000",List rate,0.0052,0%,0,"750,000",List rate,0.0052,0%,0,"750,000",List rate,0.1139,0%
,SAR,"25,000,001","50,000,000",Tier rate,0.0049,-6%,"750,001","15,000,000",Tier rate,0.0049,-6%,"750,001","15,000,000",Tier rate,0.1071,-6%
