"Cost per message in IDR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,IDR,"1,000,001","4,500,000",Tier rate,706.65,-10%,"2,000,001","10,000,000",Tier rate,706.65,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","40,000,000",Tier rate,667.39,-15%,"10,000,001","20,000,000",Tier rate,667.39,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"40,000,001","80,000,000",Tier rate,628.14,-20%,"20,000,001","40,000,000",Tier rate,628.14,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"80,000,001",--,Tier rate,588.88,-25%,"40,000,001",--,Tier rate,588.88,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,IDR,0,"150,000",List rate,371.06,0%,0,"100,000",List rate,371.06,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"150,001","1,000,000",Tier rate,352.51,-5%,"100,001","300,000",Tier rate,352.51,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,000,000",Tier rate,333.95,-10%,"300,001","1,000,000",Tier rate,333.95,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,000,001","25,000,000",Tier rate,315.40,-15%,"1,000,001","10,000,000",Tier rate,315.40,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"25,000,001","50,000,000",Tier rate,296.85,-20%,"10,000,001","20,000,000",Tier rate,296.85,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"50,000,001",--,Tier rate,278.30,-25%,"20,000,001",--,Tier rate,278.30,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,IDR,0,"100,000",List rate,498.17,0%,0,"300,000",List rate,498.17,0%,n/a,n/a,n/a,n/a,n/a
