"Cost per message in PEN on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,PEN,"100,001","1,000,000",Tier rate,0.1739,-5%,"300,001","2,000,000",Tier rate,0.1739,-5%,n/a,n/a,n/a,n/a,n/a
,PEN,"1,000,001","4,500,000",Tier rate,0.1647,-10%,"2,000,001","10,000,000",Tier rate,0.1647,-10%,n/a,n/a,n/a,n/a,n/a
,PEN,"4,500,001","40,000,000",Tier rate,0.1556,-15%,"10,000,001","20,000,000",Tier rate,0.1556,-15%,n/a,n/a,n/a,n/a,n/a
,PEN,"40,000,001","80,000,000",Tier rate,0.1464,-20%,"20,000,001","40,000,000",Tier rate,0.1464,-20%,n/a,n/a,n/a,n/a,n/a
,PEN,"80,000,001",--,Tier rate,0.1373,-25%,"40,000,001",--,Tier rate,0.1373,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,PEN,0,"150,000",List rate,0.0865,0%,0,"100,000",List rate,0.0865,0%,n/a,n/a,n/a,n/a,n/a
,PEN,"150,001","1,000,000",Tier rate,0.0822,-5%,"100,001","300,000",Tier rate,0.0822,-5%,n/a,n/a,n/a,n/a,n/a
,PEN,"1,000,001","4,000,000",Tier rate,0.0779,-10%,"300,001","1,000,000",Tier rate,0.0779,-10%,n/a,n/a,n/a,n/a,n/a
,PEN,"4,000,001","25,000,000",Tier rate,0.0735,-15%,"1,000,001","10,000,000",Tier rate,0.0735,-15%,n/a,n/a,n/a,n/a,n/a
,PEN,"25,000,001","50,000,000",Tier rate,0.0692,-20%,"10,000,001","20,000,000",Tier rate,0.0692,-20%,n/a,n/a,n/a,n/a,n/a
,PEN,"50,000,001",--,Tier rate,0.0649,-25%,"20,000,001",--,Tier rate,0.0649,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,PEN,0,"100,000",List rate,0.1164,0%,0,"300,000",List rate,0.1164,0%,n/a,n/a,n/a,n/a,n/a
,PEN,"100,001","1,000,000",Tier rate,0.1106,-5%,"300,001","2,000,000",Tier rate,0.1106,-5%,n/a,n/a,n/a,n/a,n/a
,PEN,"1,000,001","4,500,000",Tier rate,0.1048,-10%,"2,000,001","10,000,000",Tier rate,0.1048,-10%,n/a,n/a,n/a,n/a,n/a
,PEN,"4,500,001","40,000,000",Tier rate,0.0989,-15%,"10,000,001","20,000,000",Tier rate,0.0989,-15%,n/a,n/a,n/a,n/a,n/a
,PEN,"40,000,001","80,000,000",Tier rate,0.0931,-20%,"20,000,001","40,000,000",Tier rate,0.0931,-20%,n/a,n/a,n/a,n/a,n/a
,PEN,"80,000,001",--,Tier rate,0.0873,-25%,"40,000,001",--,Tier rate,0.0873,-25%,n/a,n/a,n/a,n/a,n/a
India,PEN,0,"25,000,000",List rate,0.0047,0%,0,"750,000",List rate,0.0047,0%,0,"750,000",List rate,0.1011,0%
,PEN,"25,000,001","50,000,000",Tier rate,0.0044,-6%,"750,001","15,000,000",Tier rate,0.0044,-6%,"750,001","15,000,000",Tier rate,0.0950,-6%
,PEN,"50,000,001","100,000,000",Tier rate,0.0041,-12%,"15,000,001","20,000,000",Tier rate,0.0041,-12%,"15,000,001","20,000,000",Tier rate,0.0890,-12%
