"Cost per message in USD on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,INR,"1,000,001","4,500,000",Tier rate,3.6290,-10%,"2,000,001","10,000,000",Tier rate,3.6290,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,500,001","40,000,000",Tier rate,3.4274,-15%,"10,000,001","20,000,000",Tier rate,3.4274,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"40,000,001","80,000,000",Tier rate,3.2258,-20%,"20,000,001","40,000,000",Tier rate,3.2258,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"80,000,001",--,Tier rate,3.0242,-25%,"40,000,001",--,Tier rate,3.0242,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,INR,0,"150,000",List rate,1.9056,0%,0,"100,000",List rate,1.9056,0%,n/a,n/a,n/a,n/a,n/a
,INR,"150,001","1,000,000",Tier rate,1.8103,-5%,"100,001","300,000",Tier rate,1.8103,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,000,000",Tier rate,1.7150,-10%,"300,001","1,000,000",Tier rate,1.7150,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,000,001","25,000,000",Tier rate,1.6198,-15%,"1,000,001","10,000,000",Tier rate,1.6198,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"25,000,001","50,000,000",Tier rate,1.5245,-20%,"10,000,001","20,000,000",Tier rate,1.5245,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"50,000,001",--,Tier rate,1.4292,-25%,"20,000,001",--,Tier rate,1.4292,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,INR,0,"100,000",List rate,2.5583,0%,0,"300,000",List rate,2.5583,0%,n/a,n/a,n/a,n/a,n/a
,INR,"100,001","1,000,000",Tier rate,2.4304,-5%,"300,001","2,000,000",Tier rate,2.4304,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,500,000",Tier rate,2.3025,-10%,"2,000,001","10,000,000",Tier rate,2.3025,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,500,001","40,000,000",Tier rate,2.1746,-15%,"10,000,001","20,000,000",Tier rate,2.1746,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"40,000,001","80,000,000",Tier rate,2.0466,-20%,"20,000,001","40,000,000",Tier rate,2.0466,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"80,000,001",--,Tier rate,1.9187,-25%,"40,000,001",--,Tier rate,1.9187,-25%,n/a,n/a,n/a,n/a,n/a
India,INR,0,"25,000,000",List rate,0.1150,0%,0,"750,000",List rate,0.1150,0%,0,"750,000",List rate,2.4971,0%
,INR,"25,000,001","50,000,000",Tier rate,0.1081,-6%,"750,001","15,000,000",Tier rate,0.1081,-6%,"750,001","15,000,000",Tier rate,2.3473,-6%
,INR,"50,000,001","100,000,000",Tier rate,0.1012,-12%,"15,000,001","20,000,000",Tier rate,0.1012,-12%,"15,000,001","20,000,000",Tier rate,2.1974,-12%
,INR,"100,000,001","200,000,000",Tier rate,0.0943,-18%,"20,000,001","50,000,000",Tier rate,0.0943,-18%,"20,000,001","50,000,000",Tier rate,2.0476,-18%
,INR,"200,000,001","300,000,000",Tier rate,0.0874,-24%,"50,000,001","100,000,000",Tier rate,0.0874,-24%,"50,000,001","100,000,000",Tier rate,1.8978,-24%
,INR,"300,000,001",--,Tier rate,0.0805,-30%,"100,000,001",--,Tier rate,0.0805,-30%,"100,000,001",--,Tier rate,1.7480,-30%
Indonesia,INR,0,"750,000",List rate,1.8316,0%,0,"750,000",List rate,1.8316,0%,0,"750,000",List rate,9.9638,0%
,INR,"750,001","4,000,000",Tier rate,1.7400,-5%,"750,001","2,000,000",Tier rate,1.7400,-5%,"750,001","2,000,000",Tier rate,9.4656,-5%
,INR,"4,000,001","25,000,000",Tier rate,1.6484,-10%,"2,000,001","6,000,000",Tier rate,1.6484,-10%,"2,000,001","6,000,000",Tier rate,8.9674,-10%
,INR,"25,000,001","75,000,000",Tier rate,1.5569,-15%,"6,000,001","30,000,000",Tier rate,1.5569,-15%,"6,000,001","30,000,000",Tier rate,8.4692,-15%
,INR,"75,000,001","150,000,000",Tier rate,1.4653,-20%,"30,000,001","60,000,000",Tier rate,1.4653,-20%,"30,000,001","60,000,000",Tier rate,7.9710,-20%
,INR,"150,000,001",--,Tier rate,1.3737,-25%,"60,000,001",--,Tier rate,1.3737,-25%,"60,000,001",--,Tier rate,7.4729,-25%
