"Cost per message in CLP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,CLP,"100,001","1,000,000",Tier rate,46.1327,-5%,"300,001","2,000,000",Tier rate,46.1327,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"1,000,001","4,500,000",Tier rate,43.7046,-10%,"2,000,001","10,000,000",Tier rate,43.7046,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"4,500,001","40,000,000",Tier rate,41.2766,-15%,"10,000,001","20,000,000",Tier rate,41.2766,-15%,n/a,n/a,n/a,n/a,n/a
,CLP,"40,000,001","80,000,000",Tier rate,38.8486,-20%,"20,000,001","40,000,000",Tier rate,38.8486,-20%,n/a,n/a,n/a,n/a,n/a
,CLP,"80,000,001",--,Tier rate,36.4205,-25%,"40,000,001",--,Tier rate,36.4205,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,CLP,0,"150,000",List rate,22.9559,0%,0,"100,000",List rate,22.9559,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"150,001","1,000,000",Tier rate,21.8081,-5%,"100,001","300,000",Tier rate,21.8081,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"1,000,001","4,000,000",Tier rate,20.6603,-10%,"300,001","1,000,000",Tier rate,20.6603,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"4,000,001","25,000,000",Tier rate,19.5125,-15%,"1,000,001","10,000,000",Tier rate,19.5125,-15%,n/a,n/a,n/a,n/a,n/a
,CLP,"25,000,001","50,000,000",Tier rate,18.3647,-20%,"10,000,001","20,000,000",Tier rate,18.3647,-20%,n/a,n/a,n/a,n/a,n/a
,CLP,"50,000,001",--,Tier rate,17.2169,-25%,"20,000,001",--,Tier rate,17.2169,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,CLP,0,"100,000",List rate,30.9022,0%,0,"300,000",List rate,30.9022,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"100,001","1,000,000",Tier rate,29.3571,-5%,"300,001","2,000,000",Tier rate,29.3571,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"1,000,001","4,500,000",Tier rate,27.8120,-10%,"2,000,001","10,000,000",Tier rate,27.8120,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"4,500,001","40,000,000",Tier rate,26.2669,-15%,"10,000,001","20,000,000",Tier rate,26.2669,-15%,n/a,n/a,n/a,n/a,n/a
,CLP,"40,000,001","80,000,000",Tier rate,24.7218,-20%,"20,000,001","40,000,000",Tier rate,24.7218,-20%,n/a,n/a,n/a,n/a,n/a
