"Cost per message in EUR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,EUR,"100,001","1,000,000",Tier rate,0.0433,-5%,"300,001","2,000,000",Tier rate,0.0433,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0410,-10%,"2,000,001","10,000,000",Tier rate,0.0410,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","40,000,000",Tier rate,0.0388,-15%,"10,000,001","20,000,000",Tier rate,0.0388,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001","80,000,000",Tier rate,0.0365,-20%,"20,000,001","40,000,000",Tier rate,0.0365,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"80,000,001",--,Tier rate,0.0342,-25%,"40,000,001",--,Tier rate,0.0342,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,EUR,0,"150,000",List rate,0.0216,0%,0,"100,000",List rate,0.0216,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"150,001","1,000,000",Tier rate,0.0205,-5%,"100,001","300,000",Tier rate,0.0205,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,000,000",Tier rate,0.0194,-10%,"300,001","1,000,000",Tier rate,0.0194,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,000,001","25,000,000",Tier rate,0.0184,-15%,"1,000,001","10,000,000",Tier rate,0.0184,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"25,000,001","50,000,000",Tier rate,0.0173,-20%,"10,000,001","20,000,000",Tier rate,0.0173,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"50,000,001",--,Tier rate,0.0162,-25%,"20,000,001",--,Tier rate,0.0162,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,EUR,0,"100,000",List rate,0.0289,0%,0,"300,000",List rate,0.0289,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0275,-5%,"300,001","2,000,000",Tier rate,0.0275,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0260,-10%,"2,000,001","10,000,000",Tier rate,0.0260,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","40,000,000",Tier rate,0.0246,-15%,"10,000,001","20,000,000",Tier rate,0.0246,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001","80,000,000",Tier rate,0.0231,-20%,"20,000,001","40,000,000",Tier rate,0.0231,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"80,000,001",--,Tier rate,0.0217,-25%,"40,000,001",--,Tier rate,0.0217,-25%,n/a,n/a,n/a,n/a,n/a
India,EUR,0,"25,000,000",List rate,0.0012,0%,0,"750,000",List rate,0.0012,0%,0,"750,000",List rate,0.0252,0%
,EUR,"25,000,001","50,000,000",Tier rate,0.0011,-6%,"750,001","15,000,000",Tier rate,0.0011,-6%,"750,001","15,000,000",Tier rate,0.0237,-6%
,EUR,"50,000,001","100,000,000",Tier rate,0.0011,-12%,"15,000,001","20,000,000",Tier rate,0.0011,-12%,"15,000,001","20,000,000",Tier rate,0.0222,-12%
,EUR,"100,000,001","200,000,000",Tier rate,0.0010,-18%,"20,000,001","50,000,000",Tier rate,0.0010,-18%,"20,000,001","50,000,000",Tier rate,0.0207,-18%
,EUR,"200,000,001","300,000,000",Tier rate,0.0009,-24%,"50,000,001","100,000,000",Tier rate,0.0009,-24%,"50,000,001","100,000,000",Tier rate,0.0192,-24%
,EUR,"300,000,001",--,Tier rate,0.0008,-30%,"100,000,001",--,Tier rate,0.0008,-30%,"100,000,001",--,Tier rate,0.0176,-30%
Indonesia,EUR,0,"750,000",List rate,0.0208,0%,0,"750,000",List rate,0.0208,0%,0,"750,000",List rate,0.1129,0%
,EUR,"750,001","4,000,000",Tier rate,0.0198,-5%,"750,001","2,000,000",Tier rate,0.0198,-5%,"750,001","2,000,000",Tier rate,0.1073,-5%
,EUR,"4,000,001","25,000,000",Tier rate,0.0187,-10%,"2,000,001","6,000,000",Tier rate,0.0187,-10%,"2,000,001","6,000,000",Tier rate,0.1016,-10%
,EUR,"25,000,001","75,000,000",Tier rate,0.0177,-15%,"6,000,001","30,000,000",Tier rate,0.0177,-15%,"6,000,001","30,000,000",Tier rate,0.0960,-15%
,EUR,"75,000,001","150,000,000",Tier rate,0.0166,-20%,"30,000,001","60,000,000",Tier rate,0.0166,-20%,"30,000,001","60,000,000",Tier rate,0.0903,-20%
,EUR,"150,000,001",--,Tier rate,0.0156,-25%,"60,000,001",--,Tier rate,0.0156,-25%,"60,000,001",--,Tier rate,0.0847,-25%
Israel,EUR,0,"100,000",List rate,0.0044,0%,0,"300,000",List rate,0.0044,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0042,-5%,"300,001","2,000,000",Tier rate,0.0042,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0040,-10%,"2,000,001","10,000,000",Tier rate,0.0040,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","40,000,000",Tier rate,0.0037,-15%,"10,000,001","20,000,000",Tier rate,0.0037,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001","80,000,000",Tier rate,0.0035,-20%,"20,000,001","40,000,000",Tier rate,0.0035,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"80,000,001",--,Tier rate,0.0033,-25%,"40,000,001",--,Tier rate,0.0033,-25%,n/a,n/a,n/a,n/a,n/a
Italy,EUR,0,"100,000",List rate,0.0248,0%,0,"300,000",List rate,0.0248,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0236,-5%,"300,001","2,000,000",Tier rate,0.0236,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0223,-10%,"2,000,001","10,000,000",Tier rate,0.0223,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","40,000,000",Tier rate,0.0211,-15%,"10,000,001","20,000,000",Tier rate,0.0211,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001","80,000,000",Tier rate,0.0198,-20%,"20,000,001","40,000,000",Tier rate,0.0198,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"80,000,001",--,Tier rate,0.0186,-25%,"40,000,001",--,Tier rate,0.0186,-25%,n/a,n/a,n/a,n/a,n/a
Malaysia,EUR,0,"150,000",List rate,0.0116,0%,0,"100,000",List rate,0.0116,0%,0,"100,000",List rate,0.0346,0%
,EUR,"150,001","1,000,000",Tier rate,0.0110,-5%,"100,001","300,000",Tier rate,0.0110,-5%,"100,001","300,000",Tier rate,0.0329,-5%
,EUR,"1,000,001","4,000,000",Tier rate,0.0104,-10%,"300,001","1,000,000",Tier rate,0.0104,-10%,"300,001","1,000,000",Tier rate,0.0311,-10%
,EUR,"4,000,001","25,000,000",Tier rate,0.0099,-15%,"1,000,001","10,000,000",Tier rate,0.0099,-15%,"1,000,001","10,000,000",Tier rate,0.0294,-15%
,EUR,"25,000,001","50,000,000",Tier rate,0.0093,-20%,"10,000,001","20,000,000",Tier rate,0.0093,-20%,"10,000,001","20,000,000",Tier rate,0.0277,-20%
,EUR,"50,000,001",--,Tier rate,0.0087,-25%,"20,000,001",--,Tier rate,0.0087,-25%,"20,000,001",--,Tier rate,0.0260,-25%
Mexico,EUR,0,"1,000,000",List rate,0.0071,0%,0,"250,000",List rate,0.0071,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","5,000,000",Tier rate,0.0067,-5%,"250,001","1,000,000",Tier rate,0.0067,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"5,000,001","10,000,000",Tier rate,0.0064,-10%,"1,000,001","3,000,000",Tier rate,0.0064,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"10,000,001","20,000,000",Tier rate,0.0060,-15%,"3,000,001","5,000,000",Tier rate,0.0060,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"20,000,001","40,000,000",Tier rate,0.0057,-20%,"5,000,001","10,000,000",Tier rate,0.0057,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001",--,Tier rate,0.0053,-25%,"10,000,001",--,Tier rate,0.0053,-25%,n/a,n/a,n/a,n/a,n/a
Netherlands,EUR,0,"100,000",List rate,0.0414,0%,0,"300,000",List rate,0.0414,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0393,-5%,"300,001","2,000,000",Tier rate,0.0393,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0373,-10%,"2,000,001","10,000,000",Tier rate,0.0373,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","40,000,000",Tier rate,0.0352,-15%,"10,000,001","20,000,000",Tier rate,0.0352,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001","80,000,000",Tier rate,0.0331,-20%,"20,000,001","40,000,000",Tier rate,0.0331,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"80,000,001",--,Tier rate,0.0311,-25%,"40,000,001",--,Tier rate,0.0311,-25%,n/a,n/a,n/a,n/a,n/a
Nigeria,EUR,0,"100,000",List rate,0.0056,0%,0,"300,000",List rate,0.0056,0%,0,"300,000",List rate,0.0622,0%
,EUR,"100,001","1,000,000",Tier rate,0.0053,-5%,"300,001","2,000,000",Tier rate,0.0053,-5%,"300,001","2,000,000",Tier rate,0.0591,-5%
,EUR,"1,000,001","4,500,000",Tier rate,0.0050,-10%,"2,000,001","10,000,000",Tier rate,0.0050,-10%,"2,000,001","10,000,000",Tier rate,0.0560,-10%
,EUR,"4,500,001","40,000,000",Tier rate,0.0048,-15%,"10,000,001","20,000,000",Tier rate,0.0048,-15%,"10,000,001","20,000,000",Tier rate,0.0529,-15%
,EUR,"40,000,001","80,000,000",Tier rate,0.0045,-20%,"20,000,001","40,000,000",Tier rate,0.0045,-20%,"20,000,001","40,000,000",Tier rate,0.0498,-20%
,EUR,"80,000,001",--,Tier rate,0.0042,-25%,"40,000,001",--,Tier rate,0.0042,-25%,"40,000,001",--,Tier rate,0.0467,-25%
Pakistan,EUR,0,"150,000",List rate,0.0083,0%,0,"100,000",List rate,0.0083,0%,0,"100,000",List rate,0.0622,0%
