"Cost per message in COP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,COP,"1,000,001","4,500,000",Tier rate,182.2497,-10%,"2,000,001","10,000,000",Tier rate,182.2497,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","40,000,000",Tier rate,172.1247,-15%,"10,000,001","20,000,000",Tier rate,172.1247,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"40,000,001","80,000,000",Tier rate,161.9998,-20%,"20,000,001","40,000,000",Tier rate,161.9998,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"80,000,001",--,Tier rate,151.8748,-25%,"40,000,001",--,Tier rate,151.8748,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,COP,0,"150,000",List rate,95.7272,0%,0,"100,000",List rate,95.7272,0%,n/a,n/a,n/a,n/a,n/a
,COP,"150,001","1,000,000",Tier rate,90.9408,-5%,"100,001","300,000",Tier rate,90.9408,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,000,000",Tier rate,86.1545,-10%,"300,001","1,000,000",Tier rate,86.1545,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,000,001","25,000,000",Tier rate,81.3681,-15%,"1,000,001","10,000,000",Tier rate,81.3681,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"25,000,001","50,000,000",Tier rate,76.5818,-20%,"10,000,001","20,000,000",Tier rate,76.5818,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"50,000,001",--,Tier rate,71.7954,-25%,"20,000,001",--,Tier rate,71.7954,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,COP,0,"100,000",List rate,128.8634,0%,0,"300,000",List rate,128.8634,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,122.4202,-5%,"300,001","2,000,000",Tier rate,122.4202,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,115.9771,-10%,"2,000,001","10,000,000",Tier rate,115.9771,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","40,000,000",Tier rate,109.5339,-15%,"10,000,001","20,000,000",Tier rate,109.5339,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"40,000,001","80,000,000",Tier rate,103.0907,-20%,"20,000,001","40,000,000",Tier rate,103.0907,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"80,000,001",--,Tier rate,96.6476,-25%,"40,000,001",--,Tier rate,96.6476,-25%,n/a,n/a,n/a,n/a,n/a
India,COP,0,"25,000,000",List rate,5.1545,0%,0,"750,000",List rate,5.1545,0%,0,"750,000",List rate,111.9271,0%
,COP,"25,000,001","50,000,000",Tier rate,4.8452,-6%,"750,001","15,000,000",Tier rate,4.8452,-6%,"750,001","15,000,000",Tier rate,105.2115,-6%
,COP,"50,000,001","100,000,000",Tier rate,4.5360,-12%,"15,000,001","20,000,000",Tier rate,4.5360,-12%,"15,000,001","20,000,000",Tier rate,98.4958,-12%
,COP,"100,000,001","200,000,000",Tier rate,4.2267,-18%,"20,000,001","50,000,000",Tier rate,4.2267,-18%,"20,000,001","50,000,000",Tier rate,91.7802,-18%
,COP,"200,000,001","300,000,000",Tier rate,3.9174,-24%,"50,000,001","100,000,000",Tier rate,3.9174,-24%,"50,000,001","100,000,000",Tier rate,85.0646,-24%
,COP,"300,000,001",--,Tier rate,3.6082,-30%,"100,000,001",--,Tier rate,3.6082,-30%,"100,000,001",--,Tier rate,78.3490,-30%
Indonesia,COP,0,"750,000",List rate,92.0453,0%,0,"750,000",List rate,92.0453,0%,0,"750,000",List rate,500.7266,0%
,COP,"750,001","4,000,000",Tier rate,87.4430,-5%,"750,001","2,000,000",Tier rate,87.4430,-5%,"750,001","2,000,000",Tier rate,475.6903,-5%
,COP,"4,000,001","25,000,000",Tier rate,82.8408,-10%,"2,000,001","6,000,000",Tier rate,82.8408,-10%,"2,000,001","6,000,000",Tier rate,450.6539,-10%
,COP,"25,000,001","75,000,000",Tier rate,78.2385,-15%,"6,000,001","30,000,000",Tier rate,78.2385,-15%,"6,000,001","30,000,000",Tier rate,425.6176,-15%
,COP,"75,000,001","150,000,000",Tier rate,73.6362,-20%,"30,000,001","60,000,000",Tier rate,73.6362,-20%,"30,000,001","60,000,000",Tier rate,400.5813,-20%
,COP,"150,000,001",--,Tier rate,69.0340,-25%,"60,000,001",--,Tier rate,69.0340,-25%,"60,000,001",--,Tier rate,375.5450,-25%
Israel,COP,0,"100,000",List rate,19.5136,0%,0,"300,000",List rate,19.5136,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,18.5379,-5%,"300,001","2,000,000",Tier rate,18.5379,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,17.5622,-10%,"2,000,001","10,000,000",Tier rate,17.5622,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","40,000,000",Tier rate,16.5866,-15%,"10,000,001","20,000,000",Tier rate,16.5866,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"40,000,001","80,000,000",Tier rate,15.6109,-20%,"20,000,001","40,000,000",Tier rate,15.6109,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"80,000,001",--,Tier rate,14.6352,-25%,"40,000,001",--,Tier rate,14.6352,-25%,n/a,n/a,n/a,n/a,n/a
Italy,COP,0,"100,000",List rate,110.4544,0%,0,"300,000",List rate,110.4544,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,104.9317,-5%,"300,001","2,000,000",Tier rate,104.9317,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,99.4090,-10%,"2,000,001","10,000,000",Tier rate,99.4090,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","40,000,000",Tier rate,93.8862,-15%,"10,000,001","20,000,000",Tier rate,93.8862,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"40,000,001","80,000,000",Tier rate,88.3635,-20%,"20,000,001","40,000,000",Tier rate,88.3635,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"80,000,001",--,Tier rate,82.8408,-25%,"40,000,001",--,Tier rate,82.8408,-25%,n/a,n/a,n/a,n/a,n/a
Malaysia,COP,0,"150,000",List rate,51.5454,0%,0,"100,000",List rate,51.5454,0%,0,"100,000",List rate,153.8998,0%
,COP,"150,001","1,000,000",Tier rate,48.9681,-5%,"100,001","300,000",Tier rate,48.9681,-5%,"100,001","300,000",Tier rate,146.2048,-5%
