"Cost per message in MXN on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,MXN,"100,001","1,000,000",Tier rate,0.9617,-5%,"300,001","2,000,000",Tier rate,0.9617,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.9111,-10%,"2,000,001","10,000,000",Tier rate,0.9111,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","40,000,000",Tier rate,0.8605,-15%,"10,000,001","20,000,000",Tier rate,0.8605,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"40,000,001","80,000,000",Tier rate,0.8098,-20%,"20,000,001","40,000,000",Tier rate,0.8098,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"80,000,001",--,Tier rate,0.7592,-25%,"40,000,001",--,Tier rate,0.7592,-25%,n/a,n/a,n/a,n/a,n/a
Hong Kong,MXN,0,"150,000",List rate,0.4786,0%,0,"100,000",List rate,0.4786,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"150,001","1,000,000",Tier rate,0.4547,-5%,"100,001","300,000",Tier rate,0.4547,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,000,000",Tier rate,0.4307,-10%,"300,001","1,000,000",Tier rate,0.4307,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,000,001","25,000,000",Tier rate,0.4068,-15%,"1,000,001","10,000,000",Tier rate,0.4068,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"25,000,001","50,000,000",Tier rate,0.3829,-20%,"10,000,001","20,000,000",Tier rate,0.3829,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"50,000,001",--,Tier rate,0.3590,-25%,"20,000,001",--,Tier rate,0.3590,-25%,n/a,n/a,n/a,n/a,n/a
Hungary,MXN,0,"100,000",List rate,0.6442,0%,0,"300,000",List rate,0.6442,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.6120,-5%,"300,001","2,000,000",Tier rate,0.6120,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.5798,-10%,"2,000,001","10,000,000",Tier rate,0.5798,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","40,000,000",Tier rate,0.5476,-15%,"10,000,001","20,000,000",Tier rate,0.5476,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"40,000,001","80,000,000",Tier rate,0.5154,-20%,"20,000,001","40,000,000",Tier rate,0.5154,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"80,000,001",--,Tier rate,0.4832,-25%,"40,000,001",--,Tier rate,0.4832,-25%,n/a,n/a,n/a,n/a,n/a
India,MXN,0,"25,000,000",List rate,0.0258,0%,0,"750,000",List rate,0.0258,0%,0,"750,000",List rate,0.5596,0%
,MXN,"25,000,001","50,000,000",Tier rate,0.0243,-6%,"750,001","15,000,000",Tier rate,0.0243,-6%,"750,001","15,000,000",Tier rate,0.5260,-6%
,MXN,"50,000,001","100,000,000",Tier rate,0.0227,-12%,"15,000,001","20,000,000",Tier rate,0.0227,-12%,"15,000,001","20,000,000",Tier rate,0.4924,-12%
,MXN,"100,000,001","200,000,000",Tier rate,0.0212,-18%,"20,000,001","50,000,000",Tier rate,0.0212,-18%,"20,000,001","50,000,000",Tier rate,0.4589,-18%
,MXN,"200,000,001","300,000,000",Tier rate,0.0196,-24%,"50,000,001","100,000,000",Tier rate,0.0196,-24%,"50,000,001","100,000,000",Tier rate,0.4253,-24%
,MXN,"300,000,001",--,Tier rate,0.0181,-30%,"100,000,001",--,Tier rate,0.0181,-30%,"100,000,001",--,Tier rate,0.3917,-30%
Indonesia,MXN,0,"750,000",List rate,0.4602,0%,0,"750,000",List rate,0.4602,0%,0,"750,000",List rate,2.5032,0%
,MXN,"750,001","4,000,000",Tier rate,0.4372,-5%,"750,001","2,000,000",Tier rate,0.4372,-5%,"750,001","2,000,000",Tier rate,2.3780,-5%
,MXN,"4,000,001","25,000,000",Tier rate,0.4142,-10%,"2,000,001","6,000,000",Tier rate,0.4142,-10%,"2,000,001","6,000,000",Tier rate,2.2529,-10%
,MXN,"25,000,001","75,000,000",Tier rate,0.3912,-15%,"6,000,001","30,000,000",Tier rate,0.3912,-15%,"6,000,001","30,000,000",Tier rate,2.1277,-15%
,MXN,"75,000,001","150,000,000",Tier rate,0.3682,-20%,"30,000,001","60,000,000",Tier rate,0.3682,-20%,"30,000,001","60,000,000",Tier rate,2.0026,-20%
,MXN,"150,000,001",--,Tier rate,0.3452,-25%,"60,000,001",--,Tier rate,0.3452,-25%,"60,000,001",--,Tier rate,1.8774,-25%
Israel,MXN,0,"100,000",List rate,0.0976,0%,0,"300,000",List rate,0.0976,0%,n/a,n/a,n/a,n/a,n/a
