"Cost per message in USD on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,USD,0,"100,000",List rate,0.0260,0%,0,"120,000",List rate,0.0260,0%,n/a,n/a,n/a,n/a,n/a
,USD,"100,001","1,000,000",Tier rate,0.0247,-5%,"120,001","400,000",Tier rate,0.0247,-5%,n/a,n/a,n/a,n/a,n/a
,USD,"1,000,001","4,500,000",Tier rate,0.0234,-10%,"400,001","1,000,000",Tier rate,0.0234,-10%,n/a,n/a,n/a,n/a,n/a
,USD,"4,500,001","15,000,000",Tier rate,0.0221,-15%,"1,000,001","5,000,000",Tier rate,0.0221,-15%,n/a,n/a,n/a,n/a,n/a
,USD,"15,000,001","30,000,000",Tier rate,0.0208,-20%,"5,000,001","10,000,000",Tier rate,0.0208,-20%,n/a,n/a,n/a,n/a,n/a
,USD,"30,000,001",--,Tier rate,0.0195,-25%,"10,000,001",--,Tier rate,0.0195,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,USD,0,"250,000",List rate,0.0068,0%,0,"500,000",List rate,0.0068,0%,n/a,n/a,n/a,n/a,n/a
,USD,"250,001","2,000,000",Tier rate,0.0065,-5%,"500,001","3,000,000",Tier rate,0.0065,-5%,n/a,n/a,n/a,n/a,n/a
,USD,"2,000,001","17,000,000",Tier rate,0.0061,-10%,"3,000,001","5,250,000",Tier rate,0.0061,-10%,n/a,n/a,n/a,n/a,n/a
,USD,"17,000,001","35,000,000",Tier rate,0.0058,-15%,"5,250,001","10,000,000",Tier rate,0.0058,-15%,n/a,n/a,n/a,n/a,n/a
,USD,"35,000,001","70,000,000",Tier rate,0.0054,-20%,"10,000,001","20,000,000",Tier rate,0.0054,-20%,n/a,n/a,n/a,n/a,n/a
,USD,"70,000,001",--,Tier rate,0.0051,-25%,"20,000,001",--,Tier rate,0.0051,-25%,n/a,n/a,n/a,n/a,n/a
Chile,USD,0,"100,000",List rate,0.0200,0%,0,"120,000",List rate,0.0200,0%,n/a,n/a,n/a,n/a,n/a
,USD,"100,001","1,000,000",Tier rate,0.0190,-5%,"120,001","400,000",Tier rate,0.0190,-5%,n/a,n/a,n/a,n/a,n/a
,USD,"1,000,001","4,500,000",Tier rate,0.0180,-10%,"400,001","1,000,000",Tier rate,0.0180,-10%,n/a,n/a,n/a,n/a,n/a
,USD,"4,500,001","15,000,000",Tier rate,0.0170,-15%,"1,000,001","5,000,000",Tier rate,0.0170,-15%,n/a,n/a,n/a,n/a,n/a
,USD,"15,000,001","30,000,000",Tier rate,0.0160,-20%,"5,000,001","10,000,000",Tier rate,0.0160,-20%,n/a,n/a,n/a,n/a,n/a
,USD,"30,000,001",--,Tier rate,0.0150,-25%,"10,000,001",--,Tier rate,0.0150,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,USD,0,"100,000",List rate,0.0008,0%,0,"120,000",List rate,0.0008,0%,n/a,n/a,n/a,n/a,n/a
,USD,"100,001","1,000,000",Tier rate,0.0008,-5%,"120,001","400,000",Tier rate,0.0008,-5%,n/a,n/a,n/a,n/a,n/a
,USD,"1,000,001","4,500,000",Tier rate,0.0007,-10%,"400,001","1,000,000",Tier rate,0.0007,-10%,n/a,n/a,n/a,n/a,n/a
,USD,"4,500,001","15,000,000",Tier rate,0.0007,-15%,"1,000,001","5,000,000",Tier rate,0.0007,-15%,n/a,n/a,n/a,n/a,n/a
,USD,"15,000,001","30,000,000",Tier rate,0.0006,-20%,"5,000,001","10,000,000",Tier rate,0.0006,-20%,n/a,n/a,n/a,n/a,n/a
,USD,"30,000,001",--,Tier rate,0.0006,-25%,"10,000,001",--,Tier rate,0.0006,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,USD,0,"100,000",List rate,0.0036,0%,0,"300,000",List rate,0.0036,0%,0,"300,000",List rate,0.0650,0%
,USD,"100,001","1,000,000",Tier rate,0.0034,-5%,"300,001","2,000,000",Tier rate,0.0034,-5%,"300,001","2,000,000",Tier rate,0.0618,-5%
,USD,"1,000,001","4,500,000",Tier rate,0.0032,-10%,"2,000,001","10,000,000",Tier rate,0.0032,-10%,"2,000,001","10,000,000",Tier rate,0.0585,-10%
,USD,"4,500,001","40,000,000",Tier rate,0.0031,-15%,"10,000,001","20,000,000",Tier rate,0.0031,-15%,"10,000,001","20,000,000",Tier rate,0.0553,-15%
,USD,"40,000,001","80,000,000",Tier rate,0.0029,-20%,"20,000,001","40,000,000",Tier rate,0.0029,-20%,"20,000,001","40,000,000",Tier rate,0.0520,-20%
,USD,"80,000,001",--,Tier rate,0.0027,-25%,"40,000,001",--,Tier rate,0.0027,-25%,"40,000,001",--,Tier rate,0.0488,-25%
France,USD,0,"100,000",List rate,0.0300,0%,0,"300,000",List rate,0.0300,0%,n/a,n/a,n/a,n/a,n/a
,USD,"100,001","1,000,000",Tier rate,0.0285,-5%,"300,001","2,000,000",Tier rate,0.0285,-5%,n/a,n/a,n/a,n/a,n/a
,USD,"1,000,001","4,500,000",Tier rate,0.0270,-10%,"2,000,001","10,000,000",Tier rate,0.0270,-10%,n/a,n/a,n/a,n/a,n/a
